Date,shop_id,item_id,item_category,id_struct,Price,item_cnt_day
1/1/2018,7,783480673,1338,1338564101002,5.44,1
1/1/2018,7,783480746,1338,1338564102002,3.2,1
1/1/2018,7,790080211,1336,1336533030401,0.45,4
1/1/2018,7,790080261,1336,1336533010301,0.36,10
1/1/2018,7,790880651,1336,1336533060101,0.44,8
1/1/2018,66,283400170,2507,2507349030701,1.09,1
1/1/2018,66,422143940,1442,1442611010202,0,0
1/1/2018,66,422144020,1442,1442611010202,5.79,1
1/1/2018,66,425300030,1442,1442607080202,2.1,1
1/1/2018,66,425300080,1442,1442607080102,2.9,3
1/1/2018,66,430200470,1443,1443640010202,2.22,4
1/1/2018,66,431000630,1443,1443656130301,1.51,6
1/1/2018,66,432580030,1443,1443638020802,4.29,3
1/1/2018,66,435140940,1443,1443609010301,1.76,2
1/1/2018,66,437000050,1443,1443641070101,0.76,2
1/1/2018,66,437000130,1443,1443641010301,2.21,1
1/1/2018,66,550000750,1428,1428658010304,1.34,2
1/1/2018,66,554280020,1428,1428659090401,2.55,1
1/1/2018,66,610380058,1101,1101115071302,1.42,1
1/1/2018,66,611080027,1101,1101117052502,1.855,2
1/1/2018,66,611600088,1101,1101168090724,6.98,7
1/1/2018,66,611800107,1101,1101168010122,0.155,16
1/1/2018,66,612000497,1101,1101105010525,1.26,15
1/1/2018,66,613080427,1101,1101117010325,2.814375,8
1/1/2018,66,614644108,1101,1101107031124,7.26,1
1/1/2018,66,632180573,1341,1341560112110,3.59,2
1/1/2018,66,640180938,1114,1114125010301,0.41,1
1/1/2018,66,640580657,1114,1114125030301,0.735,2
1/1/2018,66,641700118,1114,1114133010123,1.96,1
1/1/2018,66,642080078,1114,1114137080101,17.49,7
1/1/2018,66,644300407,1114,1114103070323,2.79,3
1/1/2018,66,644300537,1114,1114103070323,1.89,8
1/1/2018,66,660580227,1173,1173205119956,0.488957446808511,47
1/1/2018,66,662080286,1173,1173201072062,0.83,7
1/1/2018,66,704080091,1335,1335536030101,3.89,1
1/1/2018,66,740200239,1240,1240555030901,24.9004291845494,1.165
1/1/2018,66,783480746,1338,1338564102002,3.2,1
1/1/2018,66,785080086,1338,1338534201022,2.87,3
1/1/2018,66,790080211,1336,1336533030401,0.45,10
1/1/2018,66,790282501,1336,1336533020101,0.36,6
1/1/2018,66,790880281,1336,1336533060201,0.64,5
1/1/2018,66,790880651,1336,1336533060101,0.44,22
1/1/2018,66,790880881,1336,1336533060201,0.85,1
1/1/2018,66,793180141,1336,1336532010301,1.73,2
1/1/2018,68,422144020,1442,1442611010202,5.79,1
1/1/2018,68,425300080,1442,1442607080102,2.9,1
1/1/2018,68,430200470,1443,1443640010202,2.22,1
1/1/2018,68,431000630,1443,1443656130301,1.51,3
1/1/2018,68,432502010,1443,1443638020801,1.79,1
1/1/2018,68,432580030,1443,1443638020802,4.29,1
1/1/2018,68,433040900,1443,1443653010102,1.14,15
1/1/2018,68,435140940,1443,1443609010301,1.76,1
1/1/2018,68,437000050,1443,1443641070101,0.76,1
1/1/2018,68,611080027,1101,1101117052502,1.484,4
1/1/2018,68,611600088,1101,1101168090724,6.98,2
1/1/2018,68,611800107,1101,1101168010122,0.155,14
1/1/2018,68,612000497,1101,1101105010525,1.26,12
1/1/2018,68,612600188,1101,1101105190202,0.765,4
1/1/2018,68,613080427,1101,1101117010325,3.465,1
1/1/2018,68,613180248,1101,1101117010722,0.375,2
1/1/2018,68,614680027,1101,1101107030124,1.85,3
1/1/2018,68,614840048,1101,1101107070123,6.565,1
1/1/2018,68,615000317,1101,1101109010403,2.22,1
1/1/2018,68,632180573,1341,1341560112110,3.59,2
1/1/2018,68,640180938,1114,1114125010301,0.41,1
1/1/2018,68,642080078,1114,1114137080101,17.49,15
1/1/2018,68,644300407,1114,1114103070323,2.79,2
1/1/2018,68,644300537,1114,1114103070323,1.89,2
1/1/2018,68,660580227,1173,1173205119956,0.49,50
1/1/2018,68,662080286,1173,1173201072062,0.83,5
1/1/2018,68,663281457,1173,1173202039961,0.9,3
1/1/2018,68,704080091,1335,1335536030101,3.89,1
